system:index,B1,B2,B3,B4,B5,B6,B7,EVI,MNDWI,NBR,NDBI,NDBaI,NDMI,NDWI,agbd,elevation,.geo
00000000000000000000_0,0.14342942515397597,0.15721694141111722,0.21538550364073117,0.19454433941906404,0.5677576507630698,0.42195082651892035,0.28449956063234966,0.7607128,0.20670235,0.79930013,0.3558066,0.68746924,0.6441934,0.1258094,126.10545,0.67707896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.14472099594276797,0.15797942904061907,0.22089543152058774,0.20164413490815233,0.5529737787635143,0.43433665897933754,0.3048141510275838,0.7432182,0.20550096,0.7669586,0.38154837,0.6700111,0.6184516,0.13761495,72.796318,0.67405194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.1590911688309568,0.18205081708138526,0.24569188020771054,0.22804495170908742,0.5246606045816666,0.4543555876183322,0.32616266391684584,0.70846695,0.22625078,0.7212581,0.42855653,0.6599268,0.5714435,0.17985256,283.663054,0.66707665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.1495125412799876,0.17499761903142186,0.25241632276855624,0.25597200367748557,0.575204311527652,0.4751802289658104,0.346594143054957,0.72195745,0.22007512,0.73363453,0.4056296,0.65273416,0.5943704,0.16147542,34.413806,0.6906755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.13208740792873988,0.14513843965906023,0.22944952240816135,0.2298187691783825,0.5252237618387043,0.41075540166868163,0.2953133928557931,0.6943196,0.23782706,0.7597984,0.37950426,0.65924275,0.62049574,0.16026163,24.918038,0.6906755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.11746808077090559,0.13066177711940088,0.193658849526687,0.16203780423098804,0.4707272741903391,0.34031878437723656,0.22739283190109574,0.6951596,0.24460995,0.8107974,0.34326175,0.6913434,0.6567382,0.144753,172.622447,0.6230481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.10726395273136055,0.13828613652696917,0.18309053186099727,0.1372032683360905,0.4569756948835307,0.314899190218076,0.2084976019046742,0.7015548,0.25264713,0.8276988,0.32196516,0.6952225,0.67803484,0.13832182,187.154702,0.6230481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.09906332150027407,0.10575206853768865,0.18280063300921973,0.13890344368181323,0.4193193890103342,0.2894031213837658,0.19808142265240322,0.6620149,0.2851925,0.817561,0.322649,0.6809812,0.677351,0.15969844,413.92673,0.63508856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.11679180659171481,0.13206457750501815,0.20455286602734268,0.17047360499502556,0.4905879126109815,0.34884810448101905,0.24101348509990062,0.70597386,0.25585592,0.80557394,0.33582938,0.6769013,0.6641706,0.14810319,217.344655,0.64377517,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.13097508802902375,0.1586794462640536,0.22857894332884937,0.1803503534789993,0.505298591593789,0.3679911683722858,0.24351078004885118,0.7207448,0.27841154,0.8115291,0.34656307,0.69546515,0.6534369,0.16987185,117.958653,0.526269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.14620191517213443,0.1712965265263718,0.2524925741482311,0.20340128645938632,0.5061052262128894,0.4078326862820095,0.28214579564473397,0.7090335,0.2770884,0.76289934,0.3937025,0.6763102,0.6062975,0.19929196,41.703751,0.52311087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.15799920885877877,0.1686653491384641,0.24642950310382886,0.21287672489025192,0.4835202943000428,0.3966027609586197,0.28280293492112135,0.68230176,0.27853936,0.74510735,0.40219772,0.662928,0.5978023,0.20619187,10.826601,0.5236442,"{""type"":""MultiPoint"",""coordinates"":[]}"
